,coin_ticker,received_money,sold_coins,role_of_token,category,goal,total_tokens,interest,fundraising_goal,start_end_date_coin_sell,ico_token_price,received_money,end_date,token_type,available_for_token_sale,min_max_personal_cap,whitelist,accepts,token_issue,cant_participate
8858,Pawnfi,Pending ,null,Utility,Market,Pending,null,Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,ERC20,null,null,null,null,null,null
8859,Yup,"$3,500,000 ",null,Utility,Social Network,Not Set,null,Not Rated,null,period isn't set,null,"$3,500,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
8860,Ceramic,"$30,000,000 ",null,Utility,Network,Not Set,null,Not Rated,null,period isn't set,null,"$30,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
8861,Treeverse,"$25,000,000 ",null,Utility,Blockchain Service,Not Set,null,Not Rated,null,period isn't set,null,"$25,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
8862,reNFT,"$6,500,000 ",null,Utility,Protocol,Not Set,null,Not Rated,null,period isn't set,null,"$6,500,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
8863,Eternal,Pending ,null,Utility,Platform,Pending,null,Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,Flow,null,null,null,null,null,null
8864,OP Games,"$8,600,000 ",null,Utility,Platform,Not Set,null,Not Rated,null,period isn't set,null,"$8,600,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
8865,Tinyman,"$2,500,000 ",null,Utility,Protocol,Not Set,null,Not Rated,null,period isn't set,null,"$2,500,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
8866,Manifold,Pending ,null,Utility,Platform,Pending,null,Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,ERC20,null,null,null,null,null,null
8867,Sky Mavis,"$311,000,000 ",null,Utility,Gaming,Not Set,null,Not Rated,null,period isn't set,null,"$311,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
8868,Solidus Labs,"$20,000,000 ",null,Utility,Market,Not Set,null,Not Rated,null,period isn't set,null,"$20,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
8869,Certora,"$43,200,000 ",null,Utility,Blockchain Service,Not Set,null,Not Rated,null,period isn't set,null,"$43,200,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
8870,Tibles,"$1,140,000 ",null,Utility,Blockchain Service,Not Set,null,Not Rated,null,period isn't set,null,"$1,140,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
8871,MCDEX,"$7,000,000 ",null,Utility,Exchange,Not Set,null,Not Rated,null,period isn't set,null,"$7,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
8872,TWO TWO,Pending ,null,Utility,Platform,Pending,"22,000,022",Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,ERC20,null,null,null,null,null,null
8873,Vertalo,"$5,000,000 ",null,Utility,Blockchain Service,Not Set,null,Not Rated,null,period isn't set,null,"$5,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
8874,Suterusu,Pending ,null,Utility,Blockchain Service,Pending,null,Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,ERC20,null,null,null,null,null,null
8875,Zapper,"$15,000,000 ",null,Utility,Blockchain Service,Not Set,null,Not Rated,null,period isn't set,null,"$15,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
8876,Commonwealth,"$23,200,000 ",null,Utility,Platform,Not Set,null,Not Rated,null,period isn't set,null,"$23,200,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
8877,Liquefy,Pending ,null,Utility,Blockchain Service,Pending,null,Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,ERC20,null,null,null,null,null,null
8878,Animoca Brands,"$88,000,000 ",null,Utility,Blockchain Service,Not Set,null,Not Rated,null,period isn't set,null,"$88,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
8879,Jenny Metaverse,"$7,000,000 ",null,Utility,Blockchain Service,Not Set,null,Not Rated,null,period isn't set,null,"$7,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
8880,Hashdex,"$26,000,000 ",null,Utility,Blockchain Service,Not Set,null,Not Rated,null,period isn't set,null,"$26,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
8881,Showtime,"$7,600,000 ",null,Utility,Social Network,Not Set,null,Not Rated,null,period isn't set,null,"$7,600,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
8882,HashMix,"$3,000,000 ",null,Utility,Platform,Not Set,"1,000,000,000",Not Rated,null,period isn't set,null,"$3,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
8883,Universe.XYZ,Pending ,null,Utility,Blockchain Service,Pending,"1,000,000",Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,ERC20,null,null,null,null,null,null
8884,Babel Finance,"$120,000,000 ",null,Utility,Currency,Not Set,null,Not Rated,null,period isn't set,null,"$120,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
8885,Burnt,"$11,000,000 ",null,Utility,Blockchain,Not Set,null,null,null,period isn't set,null,"$11,000,000 ",		DATE: TBA		,Cosmos Network,null,null,null,null,null,null
8886,Bitski,"$22,500,000 ",null,Utility,Platform,Not Set,null,Not Rated,null,period isn't set,null,"$22,500,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
8887,Upshot,"$29,500,000 ",null,Utility,Protocol,Not Set,null,Not Rated,null,period isn't set,null,"$29,500,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
8888,RTFKT Studios,"$11,000,000 ",null,Utility,Blockchain Service,Not Set,null,Not Rated,null,period isn't set,null,"$11,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
8889,Notional Finance,"$10,000,000 ",null,Utility,Protocol,Not Set,null,Not Rated,null,period isn't set,null,"$10,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
8890,Anoma,"$57,750,000 ",null,Utility,Protocol,Not Set,null,null, ETH ,period isn't set,null,"$57,750,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
8891,Aleo,"$298,000,000 ",null,Utility,Platform,Not Set,null,null,null,period isn't set,null,"$298,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
8892,Tabi (ex Treasureland),"$11,000,000 ",null,Utility,Platform,Not Set,null,Not Rated,null,period isn't set,null,"$11,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
8893,Dexguru,"$1,000,000 ",null,Utility,Trading,Not Set,null,Not Rated,null,period isn't set,null,"$1,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
8894,EnsoFinance,"$5,000,000 ",null,Utility,Platform,Not Set,null,null, Token ,July (no exact dates),null,"$5,000,000 ",		31 Jul		,ERC20,null,null,null,null,null,null
8895,Prysm,"$3,000,000 ",null,Utility,Trading,Not Set,null,Not Rated,null,period isn't set,null,"$3,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
8896,Element Finance,"$32,000,000 ",null,Utility,Protocol,Not Set,null,Not Rated,null,period isn't set,null,"$32,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
8897,Sigmadex,"$4,200,000 ",null,Utility,Marketplace,Not Set,"1,000,000,000",Not Rated, Token ,period isn't set, 1 SIG = 0.039 USD ,"$4,200,000 ",		DATE: TBA		,Polkadot,null,null,null,null,null,null
8898,Tacen,"$2,300,000 ",null,Utility,Exchange,Not Set,null,Not Rated, $ ,January (no exact dates),null,"$2,300,000 ",		DATE: TBA		,Own blockchain,null,null,null,null,null,null
8899,dTrade,"$22,800,000 ",null,Utility,Exchange,Not Set,null,Not Rated,null,period isn't set,null,"$22,800,000 ",		DATE: TBA		,Polkadot,null,null,null,null,null,null
8900,Sommelier,"$26,500,000 ",null,Utility,Blockchain Service,Not Set,null,Not Rated,null,period isn't set,null,"$26,500,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
8901,Swivel Finance,"$4,650,000 ",null,Utility,Lending,Not Set,null,Not Rated,null,period isn't set,null,"$4,650,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
8902,CoinFLEX,"$11,250,000 ",null,Utility,Platform,Not Set,"100,000,000",Not Rated, ETH ,period isn't set, 1 FLEX = 0.43 USD ,"$11,250,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
8903,MetaMask,Pending ,null,Utility,Wallet,Pending,null,Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,ERC20,null,null,null,null,null,null
8904,zkSync ,"$458,000,000 ",null,Utility,Protocol,Not Set,null,null,null,period isn't set,null,"$458,000,000 ",		DATE: TBA		,Own blockchain,null,null,null,null,null,null
8905,Teller Finance,"$7,850,000 ",null,Utility,DeFi,Not Set,null,Not Rated,null,period isn't set,null,"$7,850,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
8906,StarkWare ,"$273,000,000 ",null,Utility,Blockchain Service,Not Set,null,null,null,period isn't set,null,"$273,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
8907,Neon,"$45,000,000 ","$45,000,000 (100%) ",Governance,Blockchain Service,"$45,000,000 ","1,000,000,000","
Very High "," $5,000,000 ",8 Jun – 15 Jun, 1 NEON = 0.1 USD ,"$45,000,000 ",Ended: 15 Jun 2023 ,ERC20,5%,$100 / $500,null,"USDT, USDC",null,null
8908,CyberConnect,"$30,400,000 ",null,Utility,Protocol,Not Set,"100,000,000","
Very High "," 3,000,000 Token ",18 May – 24 May, 1 CYBER = 1.80 USD ,"$30,400,000 ",Ended: 24 May 2023 ,ERC20,"28,12%",null,null,USDT,null,"Afghanistan, Canada, Central African Republic, China, Congo, Cote D’Ivoire, Cuba, Iran, Korea, Lebanon, Liberia, Myanmar, Somalia, South Korea, South Sudan, Sudan, Syria, USA, Venezuela, Yemen, Zimbabwe"
8909,SUI ,"$52,000,000 ",null,Utility,Platform,Not Set,null,"
Very High ",null,Market & Returns,null,"$52,000,000 ",Ended: 3 May 2023 ,null,null,null,null,null,null,null
8910,Republic Note,"$49,000,000 613% ",null,"335 Madison Avenue, Suite 7E, New York, NY 10017",Investment,Not Set,null,"
High ",null,Market & Returns,null,"$49,000,000 613% ",Ended: 1 May 2023 ,null,null,null,null,null,null,null
8911,Arbitrum,"$123,700,000 ",null,Utility,Blockchain Service,Not Set,"10,000,000,000","
Very High ", ETH ,24 Jun – 23 Mar,null,"$123,700,000 ",Ended: 23 Mar 2023 ,ERC20,null,null,null,USDT,null,null
8912,Iron Fish,"$32,900,000 ",null,Utility,Blockchain Service,Not Set,null,Ticker: IRON, ETH ,until 1 Mar,null,"$32,900,000 ",Ended: 1 Mar 2023 ,ERC20,null,null,null,USDT,null,null
8913,ECO ,"$35,000,000 ",null,Utility,Blockchain Service,Not Set,null,"
Very High ",null,Market & Returns,null,"$35,000,000 ",Ended: 8 Nov 2022 ,null,null,null,null,null,null,null
8914,Aptos ,"$350,000,000 ",null,Utility,Blockchain Service,Not Set,null,null, ETH ,until 17 Oct,null,"$350,000,000 ",Ended: 17 Oct 2022 ,ERC20,null,null,null,USDT,null,null
8915,Project Galaxy,"$25,000,000 ","$25,000,000 (100%) ",Utility,Blockchain Service,"$25,000,000 ","200,000,000","
High "," 10,000,000 Token ",29 Apr – 28 May, 1 GAL = 1.5 USD ,"$25,000,000 ",Ended: 28 May 2022 ,ERC20,null,$100 / $500,"Yes (10 Feb – 15 Feb, ","ETH, BTC, USDT, USDC",null,null
8916,CowSwap,"$23,000,000 ",null,Utility,Exchange,Not Set,"1,000,000,000",Ticker: COW, ETH ,until 30 Apr,null,"$23,000,000 ",Ended: 30 Apr 2022 ,ERC20,null,null,null,USDT,null,null
8917,Axelar,"$75,000,000 ","$75,000,000 (100%) ",Utility,Network,"$75,000,000 ","1,000,000,000",Ticker: AXL," 50,000,000 Token ",9 Mar – 16 Mar, 1 AXL = 1 USD ,"$75,000,000 ",Ended: 16 Mar 2022 ,ERC20,5%,100$ / 750$,null,"ETH, BTC, USDT, USDC",null,"Canada, China, Crimea region, Cuba, Iran, Korea, North Korea, Syria, US non-accredited investors"
8918,Stader Labs,"$40,015,000 ","$40,020,000 (100%) ",Utility,Blockchain Service,"$40,020,000 ",null,"
High ",null,Market & Returns,null,"$40,015,000 ",Ended: 15 Mar 2022 ,null,null,null,null,null,null,null
8919,Nym,"$53,250,000 ","$53,250,000 (100%) ",Utility,Protocol,"$53,250,000 ",null,"
Very High ",null,Market & Returns,null,"$53,250,000 ",Ended: 16 Feb 2022 ,null,null,null,null,null,null,null
8920,Merit Circle,"$110,000,000 ",null,Utility,Blockchain Service,Not Set,null,"
High ",null,Market & Returns,null,"$110,000,000 ",Ended: 31 Jan 2022 ,null,null,null,null,null,null,null
8921,Colony,"$9,900,000 ",null,Governance,Protocol,Not Set,null,"
High ",null,Market & Returns,null,"$9,900,000 ",Ended: 28 Jan 2022 ,null,null,null,null,null,null,null
8922,Starly.io,"$6,325,000 ","$6,330,000 (100%) ",Utility,Blockchain Service,"$6,330,000 ",null,"
High ",null,Market & Returns,null,"$6,325,000 ",Ended: 21 Jan 2022 ,null,null,null,null,null,null,null
8923,Goldfinch Finance,"$36,000,000 ",null,Utility,DeFi,Not Set,null,"
Very High ", ETH ,1 Oct – 11 Jan,null,"$36,000,000 ",Ended: 11 Jan 2022 ,ERC20,null,null,null,USDT,null,null
8924,Agoric,"$90,250,000 ","$90,250,000 (100%) ",Utility,Blockchain Service,"$90,250,000 ",null,Ticker: BLD," 70,000,000 Token ",29 Dec – 5 Jan, 1 BLD = 0.8 USD ,"$90,250,000 ",Ended: 5 Jan 2022 ,Own blockchain,null,$100 / $1000,"Yes (until 27 Dec, ",null,null,"Canada, China, South Korea, USA"
8925,pSTAKE,"$20,000,000 ","$20,000,000 (100%) ",Governance,Protocol,"$20,000,000 ",null,"
High ",null,Market & Returns,null,"$20,000,000 ",Ended: 23 Dec 2021 ,null,null,null,null,null,null,null
8926,Gearbox Protocol,"$11,350,000 ",null,Governance,Protocol,Not Set,"10,000,000,000","
Very High "," 500,000,000 Token ",16 Dec – 17 Dec, 1 GEAR = 0.0144 USD ,"$11,350,000 ",Ended: 17 Dec 2021 ,ERC20,5%,100000 GEAR / 100000 GEAR,null,null,null,null
8927,BENQI,"$10,000,000 ",null,Utility,Protocol,Not Set,null,"
High ",null,Market & Returns,null,"$10,000,000 ",Ended: 15 Dec 2021 ,null,null,null,null,null,null,null
8928,Voxies Tactics,"$6,000,000 ","$6,000,000 (100%) ",Utility,Gaming,"$6,000,000 ",null,"
High ",null,Market & Returns,null,"$6,000,000 ",Ended: 14 Dec 2021 ,null,null,null,null,null,null,null
8929,Lumerin,"$15,000,000 ","$60,000,000 (25%) ",Utility,Protocol,"$60,000,000 ",null,"
High ",null,Market & Returns,null,"$15,000,000 ",Ended: 8 Dec 2021 ,null,null,null,null,null,null,null
8930,Umee,"$38,300,000 ","$38,300,000 (100%) ",Utility,DeFi,"$38,300,000 ",null,"
High ",null,Market & Returns,null,"$38,300,000 ",Ended: 8 Dec 2021 ,null,null,null,null,null,null,null
8931,GuildFi,"$6,000,000 ",null,Utility,Platform,Not Set,null,"
High ",null,Market & Returns,null,"$6,000,000 ",Ended: 4 Dec 2021 ,null,null,null,null,null,null,null
8932,Biconomy,"$21,100,000 ","$21,100,000 (100%) ",Utility,Blockchain Service,"$21,100,000 ",null,"
Very High ",null,Market & Returns,null,"$21,100,000 ",Ended: 1 Dec 2021 ,null,null,null,null,null,null,null
8933,Mines Of Dalarnia,"$2,700,000 ",null,Utility,Gaming,Not Set,null,"
Very High ",null,Market & Returns,null,"$2,700,000 ",Ended: 27 Nov 2021 ,null,null,null,null,null,null,null
8934,MonoX,"$5,400,000 ","$5,400,000 (100%) ",Governance,DEX,"$5,400,000 ",null,"
High ",null,Market & Returns,null,"$5,400,000 ",Ended: 25 Nov 2021 ,null,null,null,null,null,null,null
8935,Aurora,"$13,000,000 ","$13,000,000 (100%) ",Utility,Blockchain Service,"$13,000,000 ",null,"
Very High ",null,Market & Returns,null,"$13,000,000 ",Ended: 18 Nov 2021 ,null,null,null,null,null,null,null
8936,Guild of Guardians,"$5,500,000 ","$5,500,000 (100%) ",Utility,Gaming,"$5,500,000 ",null,"
Very High ",null,Market & Returns,null,"$5,500,000 ",Ended: 17 Nov 2021 ,null,null,null,null,null,null,null
8937,Cere Network,"$37,700,000 1047% ","$37,700,000 (100%) ",Utility,Data Service,"$37,700,000 ",null,"
High ",null,Market & Returns,null,"$37,700,000 1047% ",Ended: 8 Nov 2021 ,null,null,null,null,null,null,null
8938,Ardana,"$11,000,000 ","$11,000,000 (100%) ",Utility,Blockchain Service,"$11,000,000 ",null,"
High ",null,Market & Returns,null,"$11,000,000 ",Ended: 5 Nov 2021 ,null,null,null,null,null,null,null
8939,Swash,"$12,000,000 ","$12,000,000 (100%) ",Utility,Blockchain Service,"$12,000,000 ","1,000,000,000",Ticker: SWASH," 50,000,000 Token ",29 Oct – 30 Oct, 1 SWASH = 0.09 USD ,"$12,000,000 ",Ended: 30 Oct 2021 ,ERC20,null,null,"Yes (11 Oct – 25 Oct, ",null,null,"Afghanistan, Bosnia and Herzegovina, Central African Republic, Congo, Cuba, Eritrea, Ethiopia, Guinea-Bissau, Iran, Iraq, Lebanon, Libya, Somalia, South Sudan, Syria, Uganda, USA, Vanuatu, Yemen"
8940,Clearpool,"$3,100,000 ","$3,100,000 (100%) ",Utility,Blockchain Service,"$3,100,000 ",null,"
High ",null,Market & Returns,null,"$3,100,000 ",Ended: 27 Oct 2021 ,null,null,null,null,null,null,null
8941,Aurory,"$108,800,000 ","$108,850,000 (100%) ",Utility,Gaming,"$108,850,000 ",null,"
High ",null,Market & Returns,null,"$108,800,000 ",Ended: 24 Oct 2021 ,null,null,null,null,null,null,null
8942,Gods Unchained,"$25,320,000 169% ","$25,320,000 (100%) ",Utility,Gaming,"$25,320,000 ","200,000,000",Ticker: GODS," 35,000,000 Token ",13 Oct – 20 Oct, 1 GODS = 0.336 USD ,"$25,320,000 169% ",Ended: 20 Oct 2021 ,ERC20,null,$100 / $500 ,null,"ETH, BTC, USDT, USDC",null,"Australia, Canada, China, US non-accredited investors"
8943,Blocto,"$1,500,000 ","$1,500,000 (100%) ",Utility,Blockchain Platform,"$1,500,000 ",null,"
High ",null,Market & Returns,null,"$1,500,000 ",Ended: 1 Oct 2021 ,null,null,null,null,null,null,null
8944,Divergence,"$6,600,000 ","$6,600,000 (100%) ",Utility,Platform,"$6,600,000 ",null,"
High ",null,Market & Returns,null,"$6,600,000 ",Ended: 28 Sep 2021 ,null,null,null,null,null,null,null
8945,handle.fi,"$4,410,000 ","$4,410,000 (100%) ",Utility,Protocol,"$4,410,000 ",null,"
High ",null,Market & Returns,null,"$4,410,000 ",Ended: 23 Sep 2021 ,null,null,null,null,null,null,null
8946,Braintrust,"$12,450,000 ","$12,450,000 (100%) ",Utility,Network,"$12,450,000 ",null,"
High ",null,Market & Returns,null,"$12,450,000 ",Ended: 17 Sep 2021 ,null,null,null,null,null,null,null
8947,Gelato,"$16,000,000 ","$16,000,000 (100%) ",Utility,Network,"$16,000,000 ",null,"
High ",null,Market & Returns,null,"$16,000,000 ",Ended: 16 Sep 2021 ,null,null,null,null,null,null,null
8948,Immutable X,"$13,000,000 ","$13,000,000 (100%) ",Utility,Protocol,"$13,000,000 ",null,"
Very High ",null,Market & Returns,null,"$13,000,000 ",Ended: 15 Sep 2021 ,null,null,null,null,null,null,null
8949,Acala Network,"$92,500,000 ","$92,500,000 (100%) ",Utility,Governance Token,"$92,500,000 ","1,000,000,000",Ticker: ACA, Token ,30 Aug – 5 Sep, 1 ACA = 1 USD ,"$92,500,000 ",Ended: 5 Sep 2021 ,Own blockchain,null,null,"Yes (since 15 Aug, ","ETH, USDC, DOT",null,"China, Crimea region, Cuba, Iran, New Zealand, North Korea, Syria, Ukraine, US non-accredited investors"
8950,Star Atlas,"$1,000,000 ","$1,000,000 (100%) ",Utility,Gaming,"$1,000,000 ",null,"
High ",null,Market & Returns,null,"$1,000,000 ",Ended: 2 Sep 2021 ,null,null,null,null,null,null,null
8951,OpenSwap,"$1,850,000 ","$1,850,000 (100%) ",Utility,DeFi,"$1,850,000 ",null,"
High ",null,Market & Returns,null,"$1,850,000 ",Ended: 31 Aug 2021 ,null,null,null,null,null,null,null
8952,BitDAO,"$632,000,000 ",null,Utility,Blockchain Service,Not Set,null,"
High ",null,Market & Returns,null,"$632,000,000 ",Ended: 17 Aug 2021 ,null,null,null,null,null,null,null
8953,Lithium,"$8,100,000 ","$8,100,000 (100%) ",Utility,Protocol,"$8,100,000 ","10,000,000,000",Ticker: LITH," 33,333,333 Token ",5 Aug – 5 Aug, 1 LITH = 0.006 USD ,"$8,100,000 ",Ended: 5 Aug 2021 ,ERC20,"19,8%",null,null,null,null,"Afghanistan, Albania, Burundi, China, Comoros, Cuba, Ethiopia, Hong Kong, Iran, Iraq, North Korea, Pakistan, Sri Lanka, Syria, Trinidad, Tobago, Tunisia, USA, Venezuela, Yemen"
8954,Qredo,"$28,250,000 ","$28,250,000 (100%) ",Utility,Blockchain Service,"$28,250,000 ",null,"
High ",null,Market & Returns,null,"$28,250,000 ",Ended: 9 Jul 2021 ,null,null,null,null,null,null,null
