unnamed: 0,coin_ticker,received_money,sold_coins,role_of_token,category,goal,total_tokens,interest,fundraising_goal,start_end_date_coin_sell,ico_token_price,received_money.1,end_date,token_type,available_for_token_sale,min_max_personal_cap,whitelist,accepts,token_issue,cant_participate,end_date_clean,end_date_parsed,ico_successful,name_std,symbol_std
767,Minima,2500000.0,"$4,500,000 (56%) ",Utility,Blockchain,4500000.0,"60,000,000",Not Rated,4500000.0,14 Feb – 21 Mar, 1 WMINIMA = 0.3 USD ,2500000.0,Ended: 21 Mar 2023 ,ERC20,6%,,,USDT,,,21 Mar 2023,2023-03-21,0,minima,minima
768,NeoCortexAI,860000.0,"$860,000 (100%) ",Utility,Platform,860000.0,"1,000,000,000",Not Rated,275000.0,13 Mar – 20 Mar, 1 CORAI = 0.005 USD ,860000.0,Ended: 20 Mar 2023 ,BEP-20,"20,5%",,,USDT,,,20 Mar 2023,2023-03-20,1,neocortexai,neocortexai
769,InteractWith,1620000.0,"$1,620,000 (100%) ",Utility,Blockchain Service,1620000.0,"100,000,000",Not Rated,825000.0,15 Mar – 19 Mar, 1 INTER = 0.15 USD ,1620000.0,Ended: 19 Mar 2023 ,ERC20,13%,,,USDT,,,19 Mar 2023,2023-03-19,1,interactwith,interactwith
770,Honeyland,230000.0,,Utility,Gaming,,"1,000,000,000",Not Rated,220500.0,14 Mar – 18 Mar, 1 HXD = 0.035 USD ,230000.0,Ended: 18 Mar 2023 ,Solana,23%,,,USDT,,,18 Mar 2023,2023-03-18,1,honeyland,honeyland
771,OpiPets,6900000.0,"$6,900,000 (100%) ",Utility,Gaming,6900000.0,"500,000,000",Not Rated,2400000.0,4 Mar – 18 Mar, 1 OPIP = 0.12 USD ,6900000.0,Ended: 18 Mar 2023 ,BEP-20,14%,,,USDT,,,18 Mar 2023,2023-03-18,1,opipets,opipets
772,dAngel Fund,,,Utility,Platform,,"250,000,000",Not Rated,,10 Mar – 17 Mar,,,Ended: 17 Mar 2023 ,NEAR Blockchain,20%,,,,,,17 Mar 2023,2023-03-17,0,dangelfund,dangelfund
773,Degen Zoo,2400000.0,"$2,400,000 (100%) ",Utility,Gaming,2400000.0,"1,000,000,000",Not Rated,2400000.0,24 Feb – 15 Mar, 1 DZOO = 0.006 USD ,2400000.0,Ended: 15 Mar 2023 ,BEP-20,40%,,,USDT,,,15 Mar 2023,2023-03-15,1,degenzoo,degenzoo
774,Rejuve.AI,2250000.0,"$3,750,000 (60%) ",Utility,Artificial Intelligence,3750000.0,"1,000,000,000",Not Rated,1500000.0,March (no exact dates), 1 RJV = 0.015 ETH ,2250000.0,Ended: 15 Mar 2023 ,ERC20,"27,42%",,,USDT,,,15 Mar 2023,2023-03-15,1,rejuveai,rejuveai
775,Staika,,,Utility,Platform,,"250,000,000",Not Rated,50000.0,14 Mar – 15 Mar, 1 STIK = 0.25 USD ,,Ended: 15 Mar 2023 ,ERC20,12%,,,USDT,,,15 Mar 2023,2023-03-15,0,staika,staika
776,PodFast,780000.0,"$780,000 (100%) ",Utility,Artificial Intelligence,780000.0,"100,000,000",Not Rated,780000.0,3 Mar – 14 Mar, 1 FAST = 0.0195 USD ,780000.0,Ended: 14 Mar 2023 ,BEP-20,40%,,,USDT,,,14 Mar 2023,2023-03-14,1,podfast,podfast
777,Your Open Metaverse,3085000.0,"$3,090,000 (100%) ",Utility,Blockchain Service,3090000.0,"300,000,000",Not Rated,300000.0, 27 Feb – 13 Mar, 1 YOM = 0.075 USD ,3085000.0,Ended: 13 Mar 2023 ,Solana,30%,,,USDT,,,13 Mar 2023,2023-03-13,1,youropenmetaverse,youropenmetaverse
778,G4AL,1600000.0,,Utility,Platform,,"10,000,000,000",Not Rated,125000000000.0,9 Mar – 11 Mar, 1 GGT = 0.004 USD ,1600000.0,Ended: 11 Mar 2023 ,ERC20,"16,25%",,,USDT,,,11 Mar 2023,2023-03-11,0,g4al,g4al
779,Exorde,2500000.0,"$6,180,000 (40%) ",Utility,Blockchain Service,6180000.0,"200,000,000",Not Rated,4175000.0,14 Feb – 10 Mar, 1 EXD = 0.35 USD ,2500000.0,Ended: 10 Mar 2023 ,ERC20,"14,4%",,,USDT,,,10 Mar 2023,2023-03-10,0,exorde,exorde
780,Mizar,3400000.0,,Utility,Platform,,"10,000,000,000",Not Rated,100000000000.0,6 Mar – 8 Mar, 1 MZR = 0.002 USD ,3400000.0,Ended: 8 Mar 2023 ,BEP-20,,,,,,,8 Mar 2023,2023-03-08,0,mizar,mizar
781,Dsync,1700000.0,"$1,700,000 (100%) ",Utility,Protocol,1700000.0,"470,000,000",Not Rated,900000.0,25 Feb – 7 Mar, 1 DSYNC = 0.025 USD ,1700000.0,Ended: 7 Mar 2023 ,ERC20,"14,9%",,,USDT,,,7 Mar 2023,2023-03-07,1,dsync,dsync
782,CryptoGPT,,,Utility,Blockchain,,"3,000,000,000",Not Rated,150000.0,23 Feb – 7 Mar, 1 GPT = 0.005 USD ,,Ended: 7 Mar 2023 ,Own blockchain,20%,,,USDT,,,7 Mar 2023,2023-03-07,0,cryptogpt,cryptogpt
783,SHELTERZ,3585000.0,"$3,590,000 (100%) ",Utility,Blockchain Service,3590000.0,"1,000,000,000",Not Rated,510000.0,18 Feb – 5 Mar, 1 TERZ = 0.017 USD ,3585000.0,Ended: 5 Mar 2023 ,BEP-20,18%,,,USDT,,,5 Mar 2023,2023-03-05,1,shelterz,shelterz
784,HALO,,,Utility,Blockchain Service,,"500,000,000",Not Rated,50000.0,2 Mar – 3 Mar, 1 HALO = 0.02 USD ,,Ended: 3 Mar 2023 ,BEP-20,,,,,,,3 Mar 2023,2023-03-03,0,halo,halo
785,PARMA Fan Token,2500000.0,"$2,500,000 (100%) ",Utility,Currency,2500000.0,"20,000,000",Not Rated,1500000000.0,20 Feb – 1 Mar, 1 PARMA = 1 USD ,2500000.0,Ended: 1 Mar 2023 ,BEP-20,"14,5%",,,USDT,,,1 Mar 2023,2023-03-01,0,parmafantoken,parmafantoken
786,Manta Network Crowdloan,6600000.0,,Utility,Protocol,,"1,000,000,000",Not Rated,156000005000.0,4 Nov – 1 Mar,,6600000.0,Ended: 1 Mar 2023 ,Polkadot,15.6%,,,,,"USA, US non-accredited investors",1 Mar 2023,2023-03-01,0,mantanetworkcrowdloan,mantanetworkcrowdloan
787,AngelBlock,4200000.0,"$5,350,000 (79%) ",Utility,Protocol,5350000.0,"400,000,000",Not Rated,,16 Feb – 1 Mar, 1 THOL = 0.1 USD ,4200000.0,Ended: 1 Mar 2023 ,ERC20,"8,25%",,,USDT,,,1 Mar 2023,2023-03-01,0,angelblock,angelblock
788,Black Stallion,,,Utility,Platform,,"240,000,000",Not Rated,1060000.0,7 Feb – 25 Feb, 1 BS = 0.3 USD ,,Ended: 25 Feb 2023 ,Polygon,"6,75%",,,USDT,,,25 Feb 2023,2023-02-25,0,blackstallion,blackstallion
789,Beldex,25000000.0,,Utility,Blockchain Service,,"9,914,701,267",Not Rated,,until 24 Feb,,25000000.0,Ended: 24 Feb 2023 ,ERC20,,,,USDT,,,24 Feb 2023,2023-02-24,0,beldex,beldex
790,Deepwaters,6600000.0,"$6,600,000 (100%) ",Utility,Exchange,6600000.0,"350,000,000",Not Rated,800000.0,15 Feb – 18 Feb, 1 WTR = 0.12 USD ,6600000.0,Ended: 18 Feb 2023 ,ERC20,"13,1%",,,USDT,,,18 Feb 2023,2023-02-18,1,deepwaters,deepwaters
791,Carbon,1200000.0,"$1,200,000 (100%) ",Utility,Blockchain Service,1200000.0,"1,000,000,000",Not Rated,750000.0,30 Jan – 15 Feb, 1 CSIX = 0.01 USD ,1200000.0,Ended: 15 Feb 2023 ,BEP-20,14%,,,USDT,,,15 Feb 2023,2023-02-15,1,carbon,carbon
792,Tatsumeeko,7560000.0,,Utility,Gaming,,"1,000,000,000",Not Rated,60000.0,until 15 Feb,,7560000.0,Ended: 15 Feb 2023 ,ERC20,,,,USDT,,,15 Feb 2023,2023-02-15,1,tatsumeeko,tatsumeeko
793,IguVerse,1970000.0,,Governance,Gaming,,"1,000,000,000",Not Rated,250000.0,30 Jan – 14 Feb, 1 IGU = 0.08 USD ,1970000.0,Ended: 14 Feb 2023 ,BEP-20,"6,5%",,"Yes (period isn't set, ",,,,14 Feb 2023,2023-02-14,1,iguverse,iguverse
794,HoneyWood,470000.0,,Utility,Gaming,,"18,993,665",Not Rated,20000.0,13 Feb – 14 Feb, 1 CONE = 0.17 USD ,470000.0,Ended: 14 Feb 2023 ,Own blockchain,"16,83%",,,USDT,,,14 Feb 2023,2023-02-14,1,honeywood,honeywood
795,Ikonic,3250000.0,,Utility,Platform,,"1,500,000,000",Not Rated,60000000000.0,18 Oct – 11 Feb, 1 IKONIC = 0.01 USD ,3250000.0,Ended: 11 Feb 2023 ,ERC20,32%,,,USDT,,,11 Feb 2023,2023-02-11,0,ikonic,ikonic
796,Pine,4500000.0,,Utility,Protocol,,"200,000,000",Not Rated,268000.0,17 Nov – 8 Feb, 1 PINE = 0.2 USD ,4500000.0,Ended: 8 Feb 2023 ,ERC20,,,,USDT,,,8 Feb 2023,2023-02-08,1,pine,pine
797,NFT3,,,Utility,Blockchain Service,,"1,000,000,000",Not Rated,60000000000.0,7 Oct – 7 Feb, 1 ISME = 0.054 USD ,,Ended: 7 Feb 2023 ,ERC20,"34,5%",,,USDT,,,7 Feb 2023,2023-02-07,0,nft3,nft3
798,Re:water,,,Utility,Platform,,"156,000,000,000",Not Rated,60000.0,25 Jan – 1 Feb, 1 WTR = 0.001 USD ,,Ended: 1 Feb 2023 ,ERC20,,,,USDT,,,1 Feb 2023,2023-02-01,0,rewater,rewater
799,Calvaria,1140000.0,,Utility,Gaming,,"1,000,000,000",Not Rated,100000.0,1 Nov – 1 Feb, 1 RIA = 0.016 USD ,1140000.0,Ended: 1 Feb 2023 ,ERC20,30%,,,USDT,,,1 Feb 2023,2023-02-01,1,calvaria,calvaria
800,CarrieVerse,,,Utility,Platform,,"1,000,000,000",Not Rated,120000.0,30 Jan – 31 Jan, 1 CVTX = 0.07 USD ,,Ended: 31 Jan 2023 ,ERC20,20%,,,USDT,,,31 Jan 2023,2023-01-31,0,carrieverse,carrieverse
801,Uno Farm,540000.0,"$3,040,000 (18%) ",Utility,Blockchain Service,3040000.0,"1,000,000,000",Not Rated,10000000000.0,30 Dec – 30 Jan, 1 UNF = 0.039 USD ,540000.0,Ended: 30 Jan 2023 ,ERC20,20%,,,USDT,,,30 Jan 2023,2023-01-30,0,unofarm,unofarm
802,BitMEX,,,Utility,Platform,,"450,000,000",Not Rated,,11 Nov – 30 Jan,,,Ended: 30 Jan 2023 ,ERC20,,,,USDT,,,30 Jan 2023,2023-01-30,0,bitmex,bitmex
1000,Ozone Metaverse,1430000.0,"$1,430,000 (100%) ",Utility,Platform,1430000.0,"2,000,000,000",Not Rated,280000.0,16 Jun – 6 Jul, 1 OZONE = 0.007 USD ,1430000.0,Ended: 6 Jul 2023 ,Flow,"21,25%",,,,,,6 Jul 2023,2023-07-06,1,ozonemetaverse,ozonemetaverse
1001,TypeIT,,,Utility,Blockchain Service,,"1,000,000,000",Not Rated,22000000000.0,28 Jun – 6 Jul, 1 TYPE = 0.05 USD ,,Ended: 6 Jul 2023 ,ERC20,,,,,,,6 Jul 2023,2023-07-06,0,typeit,typeit
1002,EGO (Paysenger),4160000.0,"$4,160,000 (100%) ",Utility,Social Network,4160000.0,"500,000,000",Not Rated,859000.0,1 Jun – 5 Jul, 1 EGO = 0.06 USD ,4160000.0,Ended: 5 Jul 2023 ,BEP-20,26.6%,100$ / 2500$,"Yes (until 24 May, ","ETH, USDT, USDC, DOT",,"Afghanistan, Burundi, Central African Republic, Congo, Cuba, Puerto Rico, Somalia, Sudan, USA, Venezuela, Zimbabwe",5 Jul 2023,2023-07-05,1,egopaysenger,egopaysenger
1003,Goracle,3725000.0,"$3,730,000 (100%) ",Utility,Blockchain Service,3730000.0,,Not Rated,,Market & Returns,,3725000.0,Ended: 5 Jul 2023 ,,,,,,,,5 Jul 2023,2023-07-05,0,goracle,goracle
1004,BIDSHOP,250000.0,,Utility,DeFi,,,Not Rated,,Market & Returns,,250000.0,Ended: 30 Jun 2023 ,,,,,,,,30 Jun 2023,2023-06-30,0,bidshop,bidshop
1005,Tectum,4202573.0,,Utility,Blockchain,,,Not Rated,,Market & Returns,,4202573.0,Ended: 30 Jun 2023 ,,,,,,,,30 Jun 2023,2023-06-30,0,tectum,tectum
1006,Ethlas,8700000.0,,Utility,Gaming,,,Not Rated,,Market & Returns,,8700000.0,Ended: 28 Jun 2023 ,,,,,,,,28 Jun 2023,2023-06-28,0,ethlas,ethlas
1007,Archway,27000000.0,"$27,000,000 (100%) ",Utility,Blockchain,27000000.0,"1,000,000,000",Not Rated,6000000.0,15 Jun – 23 Jun, 1 ARCH = 0.2 USD ,27000000.0,Ended: 23 Jun 2023 ,Cosmos Network,"19,5%",100$ / 1000$,,"USDT, USDC",,"Canada, China, Congo, Iraq, North Korea, USA",23 Jun 2023,2023-06-23,1,archway,archway
1008,PolyGame,5225000.0,"$5,230,000 (100%) ",Utility,Platform,5230000.0,"5,000,000,000",Not Rated,100000.0,12 Jun – 16 Jun, 1 PGEM = 0.075 USD ,5225000.0,Ended: 16 Jun 2023 ,Polygon,6%,,,"USDC, BUSD",,,16 Jun 2023,2023-06-16,1,polygame,polygame
1009,Neon,45000000.0,"$45,000,000 (100%) ",Governance,Blockchain Service,45000000.0,"1,000,000,000","
Very High ",5000000.0,8 Jun – 15 Jun, 1 NEON = 0.1 USD ,45000000.0,Ended: 15 Jun 2023 ,ERC20,5%,$100 / $500,,"USDT, USDC",,,15 Jun 2023,2023-06-15,1,neon,neon
1010,War Legends,,,Utility,Gaming,,"350,000,000",Not Rated,250000.0,9 Jun – 15 Jun, 1 WAR = 0.037 USD ,,Ended: 15 Jun 2023 ,Polygon,"21,97%",,,,,,15 Jun 2023,2023-06-15,0,warlegends,warlegends
1011,OtterHome,,,Utility,DeFi,,,Not Rated,,Market & Returns,,,Ended: 13 Jun 2023 ,,,,,,,,13 Jun 2023,2023-06-13,0,otterhome,otterhome
1012,HyperGPT,1665000.0,"$1,670,000 (100%) ",Utility,Marketplace,1670000.0,,Not Rated,,Market & Returns,,1665000.0,Ended: 11 Jun 2023 ,,,,,,,,11 Jun 2023,2023-06-11,0,hypergpt,hypergpt
1013,Cyber Arena,2100000.0,"$2,100,000 (100%) ",Utility,Gaming,2100000.0,,Not Rated,,Market & Returns,,2100000.0,Ended: 8 Jun 2023 ,,,,,,,,8 Jun 2023,2023-06-08,0,cyberarena,cyberarena
1014,KAIF,500000.0,,Utility,Platform,,"90,000,000",Not Rated,500000.0,June (no exact dates), 1 KAF = 0.15 USD ,500000.0,Ended: 8 Jun 2023 ,BEP-20,,,,BUSD,,,8 Jun 2023,2023-06-08,1,kaif,kaif
1015,GPT Guru,1448000.0,"$1,450,000 (100%) ",Utility,Artificial Intelligence,1450000.0,,Not Rated,,Market & Returns,,1448000.0,Ended: 7 Jun 2023 ,,,,,,,,7 Jun 2023,2023-06-07,0,gptguru,gptguru
1016,Metaverse Kombat,2200000.0,,Utility,Gaming,,"300,000,000",Not Rated,1200000.0,11 May – 4 Jun, 1 MVK = 0.08 USD ,2200000.0,Ended: 4 Jun 2023 ,BEP-20,11%,,,USDT,,,4 Jun 2023,2023-06-04,1,metaversekombat,metaversekombat
1017,Cogito Protocol,,,Utility,DeFi,,,Not Rated,,Market & Returns,,,Ended: 3 Jun 2023 ,,,,,,,,3 Jun 2023,2023-06-03,0,cogitoprotocol,cogitoprotocol
1018,The Qwan,500000.0,,Utility,Gaming,,,Not Rated,,Market & Returns,,500000.0,Ended: 30 May 2023 ,,,,,,,,30 May 2023,2023-05-30,0,theqwan,theqwan
1019,Eldarune,1750500.0,"$1,750,000 (100%) ",Utility,Gaming,1750000.0,,Not Rated,,Market & Returns,,1750500.0,Ended: 30 May 2023 ,,,,,,,,30 May 2023,2023-05-30,0,eldarune,eldarune
1020,Bware Labs,7200000.0,,Utility,Blockchain Platform,,"100,000,000",Not Rated,1780000000.0,24 May – 30 May, 1 INFRA = 0.5 USD ,7200000.0,Ended: 30 May 2023 ,ERC20,"0,25%",,,,,,30 May 2023,2023-05-30,0,bwarelabs,bwarelabs
1021,Orbofi,2600000.0,"$2,600,000 (100%) ",Utility,Platform,2600000.0,,Not Rated,,Market & Returns,,2600000.0,Ended: 28 May 2023 ,,,,,,,,28 May 2023,2023-05-28,0,orbofi,orbofi
1022,Pika Protocol,8700000.0,,Utility,Exchange,,,Not Rated,,Market & Returns,,8700000.0,Ended: 27 May 2023 ,,,,,,,,27 May 2023,2023-05-27,0,pikaprotocol,pikaprotocol
1023,Wistaverse,930000.0,"$930,000 (100%) ",Utility,Platform,930000.0,,Not Rated,,Market & Returns,,930000.0,Ended: 25 May 2023 ,,,,,,,,25 May 2023,2023-05-25,0,wistaverse,wistaverse
1024,CyberConnect,30400000.0,,Utility,Protocol,,"100,000,000","
Very High ",3000000000.0,18 May – 24 May, 1 CYBER = 1.80 USD ,30400000.0,Ended: 24 May 2023 ,ERC20,"28,12%",,,USDT,,"Afghanistan, Canada, Central African Republic, China, Congo, Cote D’Ivoire, Cuba, Iran, Korea, Lebanon, Liberia, Myanmar, Somalia, South Korea, South Sudan, Sudan, Syria, USA, Venezuela, Yemen, Zimbabwe",24 May 2023,2023-05-24,0,cyberconnect,cyberconnect
1025,BladeDAO,,,Utility,Gaming,,"10,000,000",Not Rated,,19 May – 24 May, 1 BLADE = 0.0008333 ETH ,,Ended: 24 May 2023 ,Own blockchain,,,,,,,24 May 2023,2023-05-24,0,bladedao,bladedao
1026,Tenet,2400000.0,"$2,400,000 (100%) ",Utility,Blockchain,2400000.0,"1,200,000,000",Not Rated,1560000.0,10 May – 24 May, 1 TENET = 0.02 USD ,2400000.0,Ended: 24 May 2023 ,Own blockchain,10%,,,,,,24 May 2023,2023-05-24,1,tenet,tenet
1027,The Unfettered,2500000.0,,Utility,Gaming,,,Not Rated,,Market & Returns,,2500000.0,Ended: 23 May 2023 ,,,,,,,,23 May 2023,2023-05-23,0,theunfettered,theunfettered
1028,Turbos Finance,3750000.0,"$3,750,000 (100%) ",Utility,DEX,3750000.0,"10,000,000,000",Not Rated,750000.0,9 May – 15 May, 1 TURBOS = 0.005 USD ,3750000.0,Ended: 15 May 2023 ,Own blockchain,"10,5%",,,,,,15 May 2023,2023-05-15,1,turbosfinance,turbosfinance
1029,WeFi,1125000.0,,Utility,Lending,,,Not Rated,,Market & Returns,,1125000.0,Ended: 15 May 2023 ,,,,,,,,15 May 2023,2023-05-15,0,wefi,wefi
1030,LimeWire,10400000.0,,Utility,Marketplace,,,Not Rated,,Market & Returns,,10400000.0,Ended: 15 May 2023 ,,,,,,,,15 May 2023,2023-05-15,0,limewire,limewire
1031,FitBurn,4600000.0,,Utility,Platform,,,Not Rated,,Market & Returns,,4600000.0,Ended: 14 May 2023 ,,,,,,,,14 May 2023,2023-05-14,0,fitburn,fitburn
1032,Finblox,3900000.0,,Utility,Platform,,,Not Rated,,Market & Returns,,3900000.0,Ended: 13 May 2023 ,,,,,,,,13 May 2023,2023-05-13,0,finblox,finblox
1033,ArbiPad,1200000.0,"$1,200,000 (100%) ",Utility,Platform,1200000.0,"10,000,000,000",Not Rated,1200000.0,8 May – 11 May, 1 ARBI = 0.0005 USD ,1200000.0,Ended: 11 May 2023 ,Own blockchain,24%,,,,,,11 May 2023,2023-05-11,1,arbipad,arbipad
1034,SuiPad,1645000.0,"$1,650,000 (100%) ",Utility,Platform,1650000.0,,Not Rated,,Market & Returns,,1645000.0,Ended: 10 May 2023 ,,,,,,,,10 May 2023,2023-05-10,0,suipad,suipad
1035,Hypercycle,7516000.0,,Utility,Platform,,,Not Rated,,Market & Returns,,7516000.0,Ended: 10 May 2023 ,,,,,,,,10 May 2023,2023-05-10,0,hypercycle,hypercycle
1036,Radiant Capital,,,Utility,Market,,"1,000,000,000",Not Rated,15000000000.0,31 Mar – 10 May,,,Ended: 10 May 2023 ,BEP-20,,,,,,,10 May 2023,2023-05-10,0,radiantcapital,radiantcapital
1037,Karate Combat,18000000.0,,Utility,Gaming,,,Not Rated,,Market & Returns,,18000000.0,Ended: 8 May 2023 ,,,,,,,,8 May 2023,2023-05-08,0,karatecombat,karatecombat
1038,LitLab Games,2065000.0,"$2,070,000 (100%) ",Utility,Gaming,2070000.0,,Not Rated,,Market & Returns,,2065000.0,Ended: 8 May 2023 ,,,,,,,,8 May 2023,2023-05-08,0,litlabgames,litlabgames
1039,SUI ,52000000.0,,Utility,Platform,,,"
Very High ",,Market & Returns,,52000000.0,Ended: 3 May 2023 ,,,,,,,,3 May 2023,2023-05-03,0,sui,sui
1040,Coinzix,2240000.0,"$2,240,000 (100%) ",Utility,Exchange,2240000.0,,Not Rated,,Market & Returns,,2240000.0,Ended: 2 May 2023 ,,,,,,,,2 May 2023,2023-05-02,0,coinzix,coinzix
1041,Republic Note,49000000.0,,"335 Madison Avenue, Suite 7E, New York, NY 10017",Investment,,,"
High ",,Market & Returns,,49000000.0,Ended: 1 May 2023 ,,,,,,,,1 May 2023,2023-05-01,0,republicnote,republicnote
1042,Naviern,,,Utility,Blockchain Service,,,Not Rated,,Market & Returns,,,Ended: 30 Apr 2023 ,,,,,,,,30 Apr 2023,2023-04-30,0,naviern,naviern
1043,BlueSale,1600000.0,"$1,600,000 (100%) ",Utility,DeFi,1600000.0,,Not Rated,,Market & Returns,,1600000.0,Ended: 28 Apr 2023 ,,,,,,,,28 Apr 2023,2023-04-28,0,bluesale,bluesale
1044,Open Campus,2500000.0,,Utility,Education,,,Not Rated,,Market & Returns,,2500000.0,Ended: 28 Apr 2023 ,,,,,,,,28 Apr 2023,2023-04-28,0,opencampus,opencampus
1045,Hepton,2620750.0,"$2,620,000 (100%) ",Utility,Blockchain Service,2620000.0,,Not Rated,,Market & Returns,,2620750.0,Ended: 26 Apr 2023 ,,,,,,,,26 Apr 2023,2023-04-26,0,hepton,hepton
1046,GoSleep,2000000.0,,Utility,Gaming,,,Not Rated,,Market & Returns,,2000000.0,Ended: 19 Apr 2023 ,,,,,,,,19 Apr 2023,2023-04-19,0,gosleep,gosleep
1047,PlayZap,4350000.0,,Utility,Gaming,,,Not Rated,,Market & Returns,,4350000.0,Ended: 18 Apr 2023 ,,,,,,,,18 Apr 2023,2023-04-18,0,playzap,playzap
1048,Crown,,,Utility,Blockchain,,,Not Rated,,Market & Returns,,,Ended: 18 Apr 2023 ,,,,,,,,18 Apr 2023,2023-04-18,0,crown,crown
1049,Yesports,6050000.0,,Utility,Platform,,,Not Rated,,Market & Returns,,6050000.0,Ended: 15 Apr 2023 ,,,,,,,,15 Apr 2023,2023-04-15,0,yesports,yesports
1050,Reign of Terror,2670000.0,"$2,670,000 (100%) ",Utility,Gaming,2670000.0,"2,000,000,000",Not Rated,375000.0,4 Apr – 12 Apr, 1 REIGN = 0.0125 USD ,2670000.0,Ended: 12 Apr 2023 ,Solana,"14,5%",,,USDT,,,12 Apr 2023,2023-04-12,1,reignofterror,reignofterror
1051,Reality Metaverse,750000.0,,Utility,Blockchain Service,,"1,000,000,000",Not Rated,700000.0,5 Apr – 11 Apr, 1 RLTM = 0.04 USD ,750000.0,Ended: 11 Apr 2023 ,Polygon,22%,,,USDT,,,11 Apr 2023,2023-04-11,1,realitymetaverse,realitymetaverse
1052,Delysium,14000000.0,,Utility,Gaming,,"3,000,000,000",Not Rated,20000.0,10 Apr – 11 Apr, 1 AGI = 0.033 USD ,14000000.0,Ended: 11 Apr 2023 ,ERC20,20%,,,USDT,,,11 Apr 2023,2023-04-11,1,delysium,delysium
1053,Moovy,3610000.0,"$3,610,000 (100%) ",Utility,Gaming,3610000.0,"100,000,000",Not Rated,50000.0,30 Mar – 11 Apr, 1 MOIL = 0.37 USD ,3610000.0,Ended: 11 Apr 2023 ,BEP-20,27%,,,USDT,,,11 Apr 2023,2023-04-11,1,moovy,moovy
1054,KryptAI,100000.0,,Utility,Artificial Intelligence,,"1,000,000,000",Not Rated,221700000000.0,31 Mar – 9 Apr, 1 KAI = 0.000857 USD ,100000.0,Ended: 9 Apr 2023 ,Own blockchain,35%,,,USDT,,,9 Apr 2023,2023-04-09,0,kryptai,kryptai
1055,Pomerium,20000000.0,,Utility,Gaming,,"1,000,000,000",Not Rated,,until 9 Apr,,20000000.0,Ended: 9 Apr 2023 ,BEP-20,,,,,,,9 Apr 2023,2023-04-09,0,pomerium,pomerium
1056,ChainGPT,905000.0,,Utility,Artificial Intelligence,,"1,000,000,000",Not Rated,720000.0,5 Apr – 8 Apr, 1 CGPT = 0.008 USD ,905000.0,Ended: 8 Apr 2023 ,BEP-20,19%,,,USDT,,,8 Apr 2023,2023-04-08,1,chaingpt,chaingpt
1057,Glory Finance,3500000.0,,Utility,DeFi,,"150,000,000",Not Rated,175000.0,4 Apr – 8 Apr, 1 GLR = 0.8 USD ,3500000.0,Ended: 8 Apr 2023 ,BEP-20,10%,,,USDT,,,8 Apr 2023,2023-04-08,1,gloryfinance,gloryfinance
1058,Arken Finance,,,Utility,Blockchain Service,,"10,000,000,000",Not Rated,2250000.0,3 Apr – 6 Apr, 1 ARKEN = 0.004 USD ,,Ended: 6 Apr 2023 ,Own blockchain,,,,USDT,,,6 Apr 2023,2023-04-06,0,arkenfinance,arkenfinance
1059,Stella Fantasy,5000000.0,,Utility,Gaming,,"1,000,000,000",Not Rated,150000.0,4 Apr – 5 Apr, 1 SFTY = 0.1 USD ,5000000.0,Ended: 5 Apr 2023 ,ERC20,"13,2%",,,USDT,,,5 Apr 2023,2023-04-05,1,stellafantasy,stellafantasy
1060,WiFi Map,1700000.0,"$1,700,000 (100%) ",Utility,Platform,1700000.0,"1,000,000,000",Not Rated,500000.0,30 Mar – 1 Apr, 1 WIFI = 0.025 USD ,1700000.0,Ended: 1 Apr 2023 ,Polygon,"11,4%",,,USDT,,,1 Apr 2023,2023-04-01,1,wifimap,wifimap
1061,Coniun,538000.0,"$700,000 (77%) ",Utility,Blockchain Service,700000.0,"100,000,000",Not Rated,315000.0,30 Mar – 31 Mar, 1 CONI = 0.045 USD ,538000.0,Ended: 31 Mar 2023 ,ERC20,19%,,,USDT,,,31 Mar 2023,2023-03-31,1,coniun,coniun
1062,Alaska Gold Rush,150000.0,,Utility,Gaming,,"1,000,000,000",Not Rated,100000.0,29 Mar – 30 Mar, 1 CARAT = 0.03 USD ,150000.0,Ended: 30 Mar 2023 ,BEP-20,30%,,,USDT,,,30 Mar 2023,2023-03-30,1,alaskagoldrush,alaskagoldrush
1063,ARTT Network,225000.0,"$230,000 (100%) ",Utility,Platform,230000.0,"2,000,000,000",Not Rated,100000.0,27 Mar – 30 Mar, 1 ARTT = 0.1 USD ,225000.0,Ended: 30 Mar 2023 ,BEP-20,,,,USDT,,,30 Mar 2023,2023-03-30,1,arttnetwork,arttnetwork
1064,NuriTopia,,,Utility,Platform,,"5,000,000,000",Not Rated,120000.0,23 Mar – 24 Mar, 1 NBLU = 0.015 USD ,,Ended: 24 Mar 2023 ,BEP-20,8%,,,USDT,,,24 Mar 2023,2023-03-24,0,nuritopia,nuritopia
1065,Arbitrum,123700000.0,,Utility,Blockchain Service,,"10,000,000,000","
Very High ",,24 Jun – 23 Mar,,123700000.0,Ended: 23 Mar 2023 ,ERC20,,,,USDT,,,23 Mar 2023,2023-03-23,0,arbitrum,arbitrum
1066,Mintlayer,5200000.0,,Utility,DeFi,,"400,000,000",Not Rated,100000.0,22 Mar – 23 Mar, 1 ML = 0.25 USD ,5200000.0,Ended: 23 Mar 2023 ,ERC20,"33,77%",,,USDT,,,23 Mar 2023,2023-03-23,1,mintlayer,mintlayer
